year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2021,MSO,Missoula,450.77,41.65,3.85,521.89,32.77,-11.31
2021,BIL,Billings,417.07,31.33,-4.33,482.87,23.09,-18.29
2021,GTF,Great Falls,433.66,26.93,14.88,502.08,18.97,-1.89
2021,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",434.05,26.60,-1.93,502.53,18.66,-16.25
2021,FCA,Kalispell,437.12,25.23,-2.98,506.09,17.38,-17.14
2021,HLN,Helena,504.34,24.37,-1.68,583.92,16.58,-16.03
2021,BZN,Bozeman,361.33,11.14,-18.74,418.34,4.18,-30.60
