year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",442.60,,,600.02,,
2016,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",439.15,-0.78,-0.78,584.80,-2.54,-2.54
2017,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",467.67,6.49,5.66,609.87,4.29,1.64
2018,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",446.78,-4.47,0.94,570.07,-6.53,-4.99
2019,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",439.25,-1.69,-0.76,549.29,-3.65,-8.45
2020,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",342.85,-21.95,-22.54,423.50,-22.90,-29.42
2021,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",434.05,26.60,-1.93,502.53,18.66,-16.25
2022,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",535.49,23.37,20.99,578.87,15.19,-3.52
2023,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",524.71,-2.01,18.55,549.39,-5.09,-8.44
2024,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",501.95,-4.34,13.41,511.53,-6.89,-14.75
2015,BIL,Billings,435.93,,,590.97,,
2016,BIL,Billings,432.47,-0.79,-0.79,575.91,-2.55,-2.55
2017,BIL,Billings,463.98,7.29,6.43,605.07,5.06,2.39
2018,BIL,Billings,464.29,0.07,6.51,592.41,-2.09,0.24
2019,BIL,Billings,440.33,-5.16,1.01,550.64,-7.05,-6.82
2020,BIL,Billings,317.58,-27.88,-27.15,392.28,-28.76,-33.62
2021,BIL,Billings,417.07,31.33,-4.33,482.87,23.09,-18.29
2022,BIL,Billings,527.74,26.54,21.06,570.49,18.15,-3.47
2023,BIL,Billings,530.47,0.52,21.69,555.43,-2.64,-6.01
2024,BIL,Billings,482.53,-9.04,10.69,491.74,-11.47,-16.79
2015,BZN,Bozeman,444.65,,,602.79,,
2016,BZN,Bozeman,454.31,2.17,2.17,605.00,0.37,0.37
2017,BZN,Bozeman,484.33,6.61,8.92,631.60,4.40,4.78
2018,BZN,Bozeman,441.03,-8.94,-0.81,562.74,-10.90,-6.64
2019,BZN,Bozeman,434.78,-1.42,-2.22,543.70,-3.38,-9.80
2020,BZN,Bozeman,325.10,-25.23,-26.89,401.57,-26.14,-33.38
2021,BZN,Bozeman,361.33,11.14,-18.74,418.34,4.18,-30.60
2022,BZN,Bozeman,448.99,24.26,0.98,485.36,16.02,-19.48
2023,BZN,Bozeman,446.68,-0.51,0.46,467.70,-3.64,-22.41
2024,BZN,Bozeman,452.94,1.40,1.86,461.58,-1.31,-23.43
2015,FCA,Kalispell,450.53,,,610.77,,
2016,FCA,Kalispell,444.12,-1.42,-1.42,591.42,-3.17,-3.17
2017,FCA,Kalispell,472.73,6.44,4.93,616.48,4.24,0.93
2018,FCA,Kalispell,458.92,-2.92,1.86,585.57,-5.01,-4.13
2019,FCA,Kalispell,429.94,-6.31,-4.57,537.65,-8.18,-11.97
2020,FCA,Kalispell,349.04,-18.82,-22.53,431.14,-19.81,-29.41
2021,FCA,Kalispell,437.12,25.23,-2.98,506.09,17.38,-17.14
2022,FCA,Kalispell,553.40,26.60,22.83,598.23,18.21,-2.05
2023,FCA,Kalispell,533.25,-3.64,18.36,558.34,-6.67,-8.58
2024,FCA,Kalispell,505.35,-5.23,12.17,514.99,-7.76,-15.68
2015,GTF,Great Falls,377.49,,,511.75,,
2016,GTF,Great Falls,380.21,0.72,0.72,506.32,-1.06,-1.06
2017,GTF,Great Falls,423.57,11.40,12.21,552.36,9.09,7.94
2018,GTF,Great Falls,416.54,-1.66,10.34,531.48,-3.78,3.86
2019,GTF,Great Falls,418.90,0.57,10.97,523.84,-1.44,2.36
2020,GTF,Great Falls,341.65,-18.44,-9.49,422.02,-19.44,-17.53
2021,GTF,Great Falls,433.66,26.93,14.88,502.08,18.97,-1.89
2022,GTF,Great Falls,503.55,16.12,33.39,544.35,8.42,6.37
2023,GTF,Great Falls,473.07,-6.05,25.32,495.33,-9.01,-3.21
2024,GTF,Great Falls,485.66,2.66,28.66,494.93,-0.08,-3.29
2015,HLN,Helena,512.97,,,695.42,,
2016,HLN,Helena,517.41,0.87,0.87,689.02,-0.92,-0.92
2017,HLN,Helena,505.05,-2.39,-1.54,658.62,-4.41,-5.29
2018,HLN,Helena,493.12,-2.36,-3.87,629.19,-4.47,-9.52
2019,HLN,Helena,491.35,-0.36,-4.21,614.45,-2.34,-11.64
2020,HLN,Helena,405.50,-17.47,-20.95,500.89,-18.48,-27.97
2021,HLN,Helena,504.34,24.37,-1.68,583.92,16.58,-16.03
2022,HLN,Helena,636.62,26.23,24.10,688.19,17.86,-1.04
2023,HLN,Helena,608.23,-4.46,18.57,636.85,-7.46,-8.42
2024,HLN,Helena,595.48,-2.10,16.08,606.84,-4.71,-12.74
2015,MSO,Missoula,434.04,,,588.41,,
2016,MSO,Missoula,406.36,-6.38,-6.38,541.14,-8.03,-8.03
2017,MSO,Missoula,456.34,12.30,5.14,595.10,9.97,1.14
2018,MSO,Missoula,406.79,-10.86,-6.28,519.05,-12.78,-11.79
2019,MSO,Missoula,420.19,3.29,-3.19,525.47,1.24,-10.70
2020,MSO,Missoula,318.22,-24.27,-26.68,393.08,-25.19,-33.20
2021,MSO,Missoula,450.77,41.65,3.85,521.89,32.77,-11.31
2022,MSO,Missoula,542.66,20.39,25.03,586.62,12.40,-0.30
