year,airportCode,City,averageFare,%YoYChange,%ChangeSince2020,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2020InflationAdj
2023,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",524.71,-2.01,53.04,549.39,-5.09,29.73
2023,BIL,Billings,530.47,0.52,67.04,555.43,-2.64,41.59
2023,BZN,Bozeman,446.68,-0.51,37.40,467.70,-3.64,16.47
2023,FCA,Kalispell,533.25,-3.64,52.78,558.34,-6.67,29.50
2023,GTF,Great Falls,473.07,-6.05,38.47,495.33,-9.01,17.37
2023,HLN,Helena,608.23,-4.46,50.00,636.85,-7.46,27.14
2023,MSO,Missoula,556.54,2.56,74.89,582.72,-0.66,48.24
2023,NATIONAL,National Average,384.85,-2.29,47.64,402.98,-5.35,25.16
