year,time,averagePrice,%changeYoY,%changeSince2020,Q2InflationAdj2025,%changeYoYInflationAdj,%changeSince2020InflationAdj
2020,before,2.19,,0.00,2.70,,0.00
2020,after,2.19,,0.00,2.70,,0.00
2021,before,3.33,52.27,52.27,3.86,42.73,42.73
2021,after,3.33,52.23,52.23,3.86,42.69,42.69
2022,before,3.72,11.74,70.14,4.02,4.33,48.90
2022,after,3.57,7.14,63.10,3.86,0.03,42.74
2023,before,3.25,-12.67,48.59,3.40,-15.41,25.96
2023,after,3.18,-10.92,45.28,3.33,-13.71,23.16
2024,before,2.92,-10.24,33.38,2.97,-12.64,10.04
2024,after,2.83,-10.83,29.54,2.89,-13.22,6.88
