year,time,averagePrice,%changeYoY,%changeSince2020,Q2InflationAdj2025,%changeYoYInflationAdj,%changeSince2020InflationAdj
2020,before,2.27,,0.00,2.80,,0.00
2020,after,2.26,,0.00,2.79,,0.00
2021,before,3.45,52.41,52.41,4.00,42.86,42.86
2021,after,3.45,52.31,52.31,3.99,42.76,42.76
2022,before,3.74,8.27,65.00,4.04,1.08,44.40
2022,after,3.56,3.25,57.25,3.85,-3.60,37.62
2023,before,3.29,-11.92,45.34,3.45,-14.68,23.21
2023,after,3.14,-11.85,38.61,3.28,-14.62,17.50
2024,before,2.92,-11.23,29.02,2.98,-13.60,6.45
2024,after,2.87,-8.35,27.04,2.93,-10.80,4.81
