year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2020,WYS,West Yellowstone,282.25,,,348.64,,
2021,WYS,West Yellowstone,292.91,3.78,,339.12,-2.73,
2022,WYS,West Yellowstone,519.56,77.38,,561.64,65.62,
2023,WYS,West Yellowstone,541.13,4.15,,566.59,0.88,
2024,WYS,West Yellowstone,412.00,-23.86,,419.86,-25.90,
2109,WYS,West Yellowstone,369.43,,,461.98,,
