year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,OLF,Wolf Point,421.50,,0.00,571.41,,0.00
2016,OLF,Wolf Point,535.14,26.96,26.96,712.64,24.72,24.72
2017,OLF,Wolf Point,563.00,5.21,33.57,734.19,3.02,28.49
2018,OLF,Wolf Point,620.40,10.20,47.19,791.60,7.82,38.53
2019,OLF,Wolf Point,380.00,-38.75,-9.85,475.20,-39.97,-16.84
2020,OLF,Wolf Point,309.00,-18.68,-26.69,381.68,-19.68,-33.20
2022,OLF,Wolf Point,523.50,,24.20,565.91,,-0.96
2023,OLF,Wolf Point,805.60,53.89,91.13,843.50,49.05,47.62
2024,OLF,Wolf Point,246.50,-69.40,-41.52,251.20,-70.22,-56.04
