year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,BZN,Bozeman,444.65,,0.00,602.79,,0.00
2016,BZN,Bozeman,454.31,2.17,2.17,605.00,0.37,0.37
2017,BZN,Bozeman,484.33,6.61,8.92,631.60,4.40,4.78
2018,BZN,Bozeman,441.03,-8.94,-0.81,562.74,-10.90,-6.64
2019,BZN,Bozeman,434.78,-1.42,-2.22,543.70,-3.38,-9.80
2020,BZN,Bozeman,325.10,-25.23,-26.89,401.57,-26.14,-33.38
2021,BZN,Bozeman,361.33,11.14,-18.74,418.34,4.18,-30.60
2022,BZN,Bozeman,448.99,24.26,0.98,485.36,16.02,-19.48
2023,BZN,Bozeman,446.68,-0.51,0.46,467.70,-3.64,-22.41
2024,BZN,Bozeman,452.94,1.40,1.86,461.58,-1.31,-23.43
