year,airportCode,City,averageFare,%YoYChange,%ChangeSince2019,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2019InflationAdj
2022,BIG6,"Big 6 (Bozeman,Missoula,Billings,Kalispell,Great Falls,Helena)",535.49,23.37,21.91,578.87,15.19,5.39
2022,BIL,Billings,527.74,26.54,19.85,570.49,18.15,3.60
2022,BZN,Bozeman,448.99,24.26,3.27,485.36,16.02,-10.73
2022,FCA,Kalispell,553.40,26.60,28.72,598.23,18.21,11.27
2022,GTF,Great Falls,503.55,16.12,20.21,544.35,8.42,3.92
2022,HLN,Helena,636.62,26.23,29.57,688.19,17.86,12.00
2022,MSO,Missoula,542.66,20.39,29.15,586.62,12.40,11.64
2022,NATIONAL,National Average,393.85,20.40,10.47,425.75,12.41,-4.51
